,osid_scrambled,site,tid_scrambled,neighbor1_scrambled,shelf,path,lim,crsin,crsout,member_list,neighbor1_final,neighbor1_lim,neighbor2_final,pathindex,date
0,ae9-cb87a-32,483,31b-f3f98-8f,d7f-dcb14-bf,1,146,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1,479-d7f-dcb14-bf-2-145,LIM-2-2,476-169-7cf29-90-1-148,3.0,2020/03/10
1,1fb-84d43-4c,503,011-40a0f-05,cb3-15811-c3,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,47-cb3-15811-c3-1-1,LIM-1-1,-,4.0,2020/03/10
2,1fb-84d43-4c,503,011-40a0f-05,011-40a0f-05,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;CMD44-2-84,503-011-40a0f-05-3-105,LIM-3-2,-,4.0,2020/03/10
3,028-d575c-fe,503,011-40a0f-05,f13-6a3fc-fd,3,105,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;DSCM-3-91-1;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;DSCM-3-91,46-f13-6a3fc-fd-2-2,LIM-2-2,-,1.0,2020/03/10
4,028-d575c-fe,503,011-40a0f-05,011-40a0f-05,3,105,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;DSCM-3-91-1;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;DSCM-3-91,503-011-40a0f-05-2-2,LIM-2-2,-,1.0,2020/03/10
5,20e-20a12-13,503,011-40a0f-05,518-ca152-af,2,3,LIM-2-14,ADJ-2-14-8,ADJ-2-14-5,OMDF4-2-86S1;LIM-2-14-8;LIM-2-14-5;LIM-2-14,885-518-ca152-af-1-4,LIM-1-1,-,1.0,2020/03/10
6,20e-20a12-13,503,011-40a0f-05,011-40a0f-05,2,3,LIM-2-14,ADJ-2-14-8,ADJ-2-14-5,OMDF4-2-86S1;LIM-2-14-8;LIM-2-14-5;LIM-2-14,503-011-40a0f-05-2-2,LIM-2-2,-,1.0,2020/03/10
7,028-d575c-fe,46,f13-6a3fc-fd,011-40a0f-05,2,2,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,LIM-2-2-8;DSCM-2-30-1;LIM-2-2;OSC-2-4-1;WSS-2-3;DSCM-2-30;CMD44-2-14;CMDA-2-5;CMD44-2-15,503-011-40a0f-05-3-105,LIM-3-2,-,2.0,2020/03/10
8,0e5-4d599-a6,319,10d-9c2b3-22,774-fdc06-4f,1,37,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,313-774-fdc06-4f-4-40,LIM-4-2,-,1.0,2020/03/10
9,0e5-4d599-a6,319,10d-9c2b3-22,10d-9c2b3-22,1,37,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,319-10d-9c2b3-22-2-40,LIM-2-2,-,1.0,2020/03/10
10,c4c-9c6d2-b3,319,10d-9c2b3-22,245-b413e-e8,2,40,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,307-245-b413e-e8-3-37,LIM-3-2,-,2.0,2020/03/10
11,c4c-9c6d2-b3,319,10d-9c2b3-22,10d-9c2b3-22,2,40,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,319-10d-9c2b3-22-1-37,LIM-1-2,-,2.0,2020/03/10
12,8d4-6ce9a-fd,307,245-b413e-e8,5e6-e1336-79,1,220,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,320-5e6-e1336-79-2-217,LIM-2-2,-,2.0,2020/03/10
13,8d4-6ce9a-fd,307,245-b413e-e8,245-b413e-e8,1,220,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91;CMD44-1-84,307-245-b413e-e8-2-241,LIM-2-2,-,2.0,2020/03/10
14,bc1-89235-9c,307,245-b413e-e8,e67-72ccd-42,2,241,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,364-e67-72ccd-42-1-80,LIM-1-2,-,1.0,2020/03/10
15,bc1-89235-9c,307,245-b413e-e8,245-b413e-e8,2,241,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;CMD44-2-84,307-245-b413e-e8-1-220,LIM-1-2,-,1.0,2020/03/10
16,54d-fdad8-4d,307,245-b413e-e8,86f-2b977-1b,5,224,LIM-5-2,ADJ-5-2-8,ADJ-5-2-5,CMD44-5-83;LIM-5-2-8;DSCM-5-91-1;LIM-5-2;OSC-5-1-1;WSSOPM-5-3;DSCM-5-91;CMD44-5-84,402-86f-2b977-1b-1-221,LIM-1-2,-,2.0,2020/03/10
17,54d-fdad8-4d,307,245-b413e-e8,245-b413e-e8,5,224,LIM-5-2,ADJ-5-2-8,ADJ-5-2-5,CMD44-5-83;LIM-5-2-8;DSCM-5-91-1;LIM-5-2;OSC-5-1-1;WSSOPM-5-3;DSCM-5-91;CMD44-5-84,307-245-b413e-e8-1-220,LIM-1-2,-,2.0,2020/03/10
18,f95-cbd33-1b,307,245-b413e-e8,2fe-e1ab1-fe,6,40,LIM-6-2,ADJ-6-2-8,ADJ-6-2-5,CMD44-6-83;LIM-6-2-8;LIM-6-2-5;LIM-6-2;OSC-6-1-1;WSSOPM-6-3;CMD44-6-84,386-2fe-e1ab1-fe-4-37,LIM-4-2,-,2.0,2020/03/10
19,f95-cbd33-1b,307,245-b413e-e8,245-b413e-e8,6,40,LIM-6-2,ADJ-6-2-8,ADJ-6-2-5,CMD44-6-83;LIM-6-2-8;LIM-6-2-5;LIM-6-2;OSC-6-1-1;WSSOPM-6-3;CMD44-6-84,307-245-b413e-e8-1-220,LIM-1-2,-,2.0,2020/03/10
20,c4c-9c6d2-b3,307,245-b413e-e8,10d-9c2b3-22,3,37,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;CMD44-3-84,319-10d-9c2b3-22-2-40,LIM-2-2,-,1.0,2020/03/10
21,c4c-9c6d2-b3,307,245-b413e-e8,245-b413e-e8,3,37,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;CMD44-3-84,307-245-b413e-e8-1-220,LIM-1-2,-,1.0,2020/03/10
22,ccb-290a6-56,307,245-b413e-e8,1fd-f9075-51,4,132,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;LIM-4-2-5;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;CMD44-4-84,358-1fd-f9075-51-4-129,LIM-4-2,-,2.0,2020/03/10
23,ccb-290a6-56,307,245-b413e-e8,245-b413e-e8,4,132,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;LIM-4-2-5;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;CMD44-4-84,307-245-b413e-e8-1-220,LIM-1-2,-,2.0,2020/03/10
24,c83-36153-be,223,2ea-e3fa1-dd,1a4-facc5-f6,1,21,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,222-1a4-facc5-f6-1-24,LIM-1-2,-,1.0,2020/03/10
25,c83-36153-be,223,2ea-e3fa1-dd,2ea-e3fa1-dd,1,21,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,223-2ea-e3fa1-dd-1-20,LIM-1-14,-,1.0,2020/03/10
26,433-d5e1f-74,223,2ea-e3fa1-dd,ef9-f2005-d1,1,20,LIM-1-14,ADJ-1-14-8,ADJ-1-14-5,CMD44-1-84;LIM-1-14-8;LIM-1-14-5;LIM-1-14;OSC-1-1-2;WSSOPM-1-13,224-ef9-f2005-d1-1-17,LIM-1-2,-,2.0,2020/03/10
27,433-d5e1f-74,223,2ea-e3fa1-dd,2ea-e3fa1-dd,1,20,LIM-1-14,ADJ-1-14-8,ADJ-1-14-5,CMD44-1-84;LIM-1-14-8;LIM-1-14-5;LIM-1-14;OSC-1-1-2;WSSOPM-1-13,223-2ea-e3fa1-dd-1-21,LIM-1-2,-,2.0,2020/03/10
28,9cc-c367a-71,37,206-51b0d-8e,eae-f4996-b2,1,1,LIM-1-1,ADJ-1-1-8,ADJ-1-1-5,LIM-1-1-8;LIM-1-1-5;LIM-1-1;OSC-1-4-1,36-eae-f4996-b2-3-2,LIM-3-2,38-936-5722e-f1-1-1,5.0,2020/03/10
29,c58-254dd-32,330,4d9-4950d-eb,118-e2964-8d,1,16,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;LIM-1-4,327-118-e2964-8d-1-13,LIM-1-2,-,2.0,2020/03/10
30,c58-254dd-32,330,4d9-4950d-eb,4d9-4950d-eb,1,16,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;LIM-1-4,330-4d9-4950d-eb-2-13,LIM-2-2,-,2.0,2020/03/10
31,8ca-697a5-16,330,4d9-4950d-eb,de0-0b395-6d,2,13,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;LIM-2-4,329-de0-0b395-6d-1-16,LIM-1-2,-,1.0,2020/03/10
32,8ca-697a5-16,330,4d9-4950d-eb,4d9-4950d-eb,2,13,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;DSCM-2-91-1;LIM-2-2;OSC-2-1-1;WSSOPM-2-3;DSCM-2-91;LIM-2-4,330-4d9-4950d-eb-1-16,LIM-1-2,-,1.0,2020/03/10
33,5f4-e69d7-48,379,f3d-d885d-62,3c3-46236-92,2,72,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3,393-3c3-46236-92-2-69,LIM-2-2,-,2.0,2020/03/10
34,5f4-e69d7-48,379,f3d-d885d-62,f3d-d885d-62,2,72,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3,379-f3d-d885d-62-1-69,LIM-1-2,-,2.0,2020/03/10
35,b2d-d43fe-41,379,f3d-d885d-62,2fe-e1ab1-fe,1,69,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,386-2fe-e1ab1-fe-2-72,LIM-2-2,-,1.0,2020/03/10
36,b2d-d43fe-41,379,f3d-d885d-62,f3d-d885d-62,1,69,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;DSCM-1-91-1;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;DSCM-1-91,379-f3d-d885d-62-2-72,LIM-2-2,-,1.0,2020/03/10
37,279-dd8a8-e9,424,ffc-d8aec-b9,cca-70247-1e,2,245,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3,423-cca-70247-1e-4-248,LIM-4-2,-,1.0,2020/03/10
38,279-dd8a8-e9,424,ffc-d8aec-b9,ffc-d8aec-b9,2,245,LIM-2-2,ADJ-2-2-8,ADJ-2-2-5,CMD44-2-83;LIM-2-2-8;LIM-2-2-5;LIM-2-2;OSC-2-1-1;WSSOPM-2-3,424-ffc-d8aec-b9-1-248,LIM-1-2,-,1.0,2020/03/10
39,d08-629cf-71,424,ffc-d8aec-b9,c69-38394-a1,1,248,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;LIM-1-6,450-c69-38394-a1-1-245,LIM-1-2,-,2.0,2020/03/10
40,d08-629cf-71,424,ffc-d8aec-b9,ffc-d8aec-b9,1,248,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3;LIM-1-6,424-ffc-d8aec-b9-2-245,LIM-2-2,-,2.0,2020/03/10
41,fdc-a2428-e7,359,afe-b9f62-22,e27-957d1-6f,1,65,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,339-e27-957d1-6f-3-68,LIM-3-2,-,1.0,2020/03/10
42,fdc-a2428-e7,359,afe-b9f62-22,afe-b9f62-22,1,65,LIM-1-2,ADJ-1-2-8,ADJ-1-2-5,CMD44-1-83;LIM-1-2-8;LIM-1-2-5;LIM-1-2;OSC-1-1-1;WSSOPM-1-3,359-afe-b9f62-22-4-57,LIM-4-2,-,1.0,2020/03/10
43,b5c-7a048-05,359,afe-b9f62-22,15b-4d7ae-15,4,57,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;DSCM-4-91-1;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;DSCM-4-91,361-15b-4d7ae-15-1-60,LIM-1-2,-,1.0,2020/03/10
44,b5c-7a048-05,359,afe-b9f62-22,afe-b9f62-22,4,57,LIM-4-2,ADJ-4-2-8,ADJ-4-2-5,CMD44-4-83;LIM-4-2-8;DSCM-4-91-1;LIM-4-2;OSC-4-1-1;WSSOPM-4-3;DSCM-4-91,359-afe-b9f62-22-1-65,LIM-1-2,-,1.0,2020/03/10
45,a0a-52ed1-72,359,afe-b9f62-22,821-6d9a7-60,3,4,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;CMD44-3-84,415-821-6d9a7-60-2-1,LIM-2-2,-,2.0,2020/03/10
46,a0a-52ed1-72,359,afe-b9f62-22,afe-b9f62-22,3,4,LIM-3-2,ADJ-3-2-8,ADJ-3-2-5,CMD44-3-83;LIM-3-2-8;LIM-3-2-5;LIM-3-2;OSC-3-1-1;WSSOPM-3-3;CMD44-3-84,359-afe-b9f62-22-1-65,LIM-1-2,-,2.0,2020/03/10
