,0,1
0,085-61f62-64_2_2_6,2ea-e3fa1-dd_1_2_6
1,1a4-facc5-f6_1_14_6,2ea-e3fa1-dd_1_2_6
2,1a4-facc5-f6_1_14_6,66d-e1389-ef_1_2_8
3,1a4-facc5-f6_1_14_8,1a4-facc5-f6_1_2_6
4,1a4-facc5-f6_1_2_6,2ea-e3fa1-dd_1_2_8
5,1a4-facc5-f6_1_2_6,2ea-e3fa1-dd_1_2_6
6,1a4-facc5-f6_1_2_8,2ea-e3fa1-dd_1_2_6
7,1a4-facc5-f6_1_2_8,2ea-e3fa1-dd_1_14_6
8,2ea-e3fa1-dd_1_14_6,2ea-e3fa1-dd_1_2_6
9,34f-126a2-af_2_12_8,9f6-6cfd7-ef_1_2_6
10,34f-126a2-af_2_12_8,c41-9afee-85_2_2_6
11,1a4-facc5-f6_1_14_8,66d-e1389-ef_1_2_6
12,2ea-e3fa1-dd_1_2_6,66d-e1389-ef_1_2_8
13,81c-9432f-3c_2_2_8,940-0c670-8e_2_2_6
14,9f6-6cfd7-ef_1_2_6,c41-9afee-85_2_2_6
15,c41-9afee-85_2_2_8,d6e-79485-0a_4_2_6
16,2ea-e3fa1-dd_1_2_6,ef9-f2005-d1_1_2_8
17,2ea-e3fa1-dd_1_14_6,ef9-f2005-d1_1_2_8
18,0bd-ad564-95_1_2_6,5a8-13c57-01_3_2_8
19,0bd-ad564-95_1_4_8,fa2-d4687-40_1_2_8
20,0bd-ad564-95_2_2_6,fa2-d4687-40_1_2_8
21,171-15b02-80_1_2_6,cff-8eda5-31_3_2_8
22,213-578ec-68_2_2_6,cfd-47ed5-d5_3_2_8
23,844-96a93-26_2_2_8,f31-0c101-f7_2_2_6
24,cfd-47ed5-d5_3_2_8,cfd-47ed5-d5_3_4_8
25,ecc-d3fcd-01_2_2_8,ecc-d3fcd-01_2_5_5
26,169-7cf29-90_1_2_6,d7f-dcb14-bf_2_2_8
27,169-7cf29-90_1_2_6,31b-f3f98-8f_1_3_8
28,169-7cf29-90_2_2_8,169-7cf29-90_2_4_8
29,169-7cf29-90_2_4_8,5a8-13c57-01_4_2_6
30,31b-f3f98-8f_1_2_6,31b-f3f98-8f_1_3_8
31,31b-f3f98-8f_1_2_6,d7f-dcb14-bf_2_2_8
32,590-e8744-a1_2_2_6,789-bb1be-81_4_2_8
33,780-3613e-77_1_4_8,d7f-dcb14-bf_2_2_8
34,7f5-53b1b-cc_1_2_8,da8-be0b5-14_3_2_6
35,169-7cf29-90_2_2_8,d7f-dcb14-bf_1_2_6
36,31b-f3f98-8f_1_3_8,d7f-dcb14-bf_2_2_8
37,10d-9c2b3-22_1_2_8,774-fdc06-4f_4_2_6
38,322-90f2b-d4_1_2_8,593-f48b8-d8_2_2_6
39,aad-91db9-84_2_2_8,aad-91db9-84_2_4_8
40,4d2-45a18-96_9_14_8,d9e-e6df6-24_1_2_6
41,593-f48b8-d8_5_2_8,735-db79c-a4_2_2_6
42,245-b413e-e8_6_2_6,2fe-e1ab1-fe_4_2_8
43,80b-307d3-7f_1_2_8,fc5-45a44-5e_2_2_6
44,80b-307d3-7f_1_2_8,80b-307d3-7f_1_5_5
45,80b-307d3-7f_1_5_5,fc5-45a44-5e_2_2_6
46,23f-7fa1d-9e_1_2_8,23f-7fa1d-9e_2_2_6
47,2fe-e1ab1-fe_3_2_8,7f5-8ae37-d4_2_2_6
48,641-c78fd-3b_2_2_8,e46-30657-f9_3_2_6
49,23f-7fa1d-9e_2_2_6,789-bb1be-81_3_2_8
50,23f-7fa1d-9e_2_2_6,de8-06733-db_1_2_6
51,000-5acae-94_2_2_6,1b1-f3311-75_2_2_8
